StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,50:06.1,-0.3481,1.6221,-0.2813,11.8408,52.4902,258.3618,102.7496,-12.1344,52.674,0
0x50,50:06.1,-0.4902,1.5562,-0.3486,8.1177,56.3354,239.7461,102.9749,-16.8805,52.4817,0
0x50,50:06.1,-0.4839,1.4424,-0.3447,15.8691,67.627,207.2754,103.2111,-21.0828,52.4762,0
0x50,50:06.2,-0.6895,1.4565,-0.2466,28.6255,61.8896,171.6309,103.5846,-24.549,52.608,0
0x50,50:06.2,-0.77,1.3613,-0.1587,27.0386,19.4092,134.7046,104.2273,-27.0978,52.3059,0
0x50,50:06.2,-0.6724,1.1357,-0.2251,15.0146,-11.5356,91.9189,105.0513,-28.6523,51.3281,0
0x50,50:06.2,-0.6426,1,-0.291,9.9487,-7.7515,40.0391,105.8093,-29.2072,50.2679,0
0x50,50:06.2,-0.4761,1.0029,-0.1738,2.8687,17.7612,-14.5874,106.084,-28.8336,49.8999,0
0x50,50:06.2,-0.4277,1.0864,-0.1812,-6.1035,41.9922,-60.2417,105.6995,-27.6801,50.4712,0
0x50,50:06.3,-0.271,1.0532,-0.4224,-6.5308,51.3306,-84.8999,105.0403,-26.0211,51.6138,0
0x50,50:06.3,0.5352,0.8799,-0.5659,-3.0518,28.9917,-77.9419,104.5789,-24.4611,52.6959,0
0x50,50:06.3,0.5757,0.9858,-0.2993,7.3853,9.2163,-54.7485,104.4305,-23.3405,53.3551,0
0x50,50:06.3,0.2393,1.1538,-0.0659,0.4883,7.2632,-64.3921,104.2603,-22.1979,53.8165,0
0x50,50:06.4,0.1885,1.1323,0.0103,5.4321,27.0386,-67.0776,103.9087,-20.8795,54.5306,0
0x50,50:06.4,0.127,1.1167,-0.0967,13.6108,51.1475,-65.3076,103.5626,-19.6271,55.6567,0
0x50,50:06.4,0.0176,1.1533,-0.3184,29.6631,51.9409,-71.7773,103.5187,-18.3527,56.9312,0
0x50,50:06.4,-0.1045,1.0166,-0.3276,31.6772,28.0151,-71.5942,103.8483,-16.9189,57.876,0
0x50,50:06.4,-0.3711,1.2549,-0.3398,28.2593,-13.4888,-68.8477,104.3976,-15.2875,58.0957,0
0x50,50:06.5,0.0249,0.9429,-0.1987,17.334,-48.4619,-55.2979,104.9579,-13.6725,57.5739,0
0x50,50:06.5,0.0898,0.9937,-0.1113,20.6299,-46.875,-52.2461,105.4193,-12.2717,56.8323,0
0x50,50:06.5,0.0806,1.0313,-0.124,27.9541,-29.4189,-48.5229,105.8972,-11.0083,56.3214,0
0x50,50:06.5,-0.0146,0.9653,-0.2842,28.4424,-32.6538,-38.269,106.474,-9.8987,55.8765,0
0x50,50:06.5,0.1128,0.937,-0.4282,25.6958,-41.5039,-29.3579,107.1552,-8.9648,55.2283,0
0x50,50:06.6,0.1953,0.9165,-0.4365,19.104,-31.3721,-25.7568,107.7704,-8.2288,54.5856,0
0x50,50:06.6,0.1523,0.9424,-0.377,18.4937,-10.6812,-24.8413,108.2483,-7.641,54.256,0
0x50,50:06.6,0.0771,0.9888,-0.333,14.2212,-7.3242,-21.9727,108.5999,-7.1301,54.1681,0
0x50,50:06.6,0.106,0.96,-0.3359,10.437,-7.8735,-19.7754,108.847,-6.6687,54.0967,0
0x50,50:06.6,0.1382,0.9297,-0.335,8.728,-6.4697,-23.5596,109.0448,-6.2183,54.0527,0
0x50,50:06.6,0.1016,0.9575,-0.3271,5.9814,-11.1694,-28.3813,109.1931,-5.6799,54.0143,0
0x50,50:06.7,0.0479,0.9536,-0.3018,4.0283,-20.6299,-30.1514,109.292,-5.0098,53.866,0
0x50,50:06.7,0.0283,0.9438,-0.2866,3.8452,-25.5737,-29.1138,109.3634,-4.2682,53.5858,0
0x50,50:06.7,0.0737,0.939,-0.313,6.7749,-21.5454,-29.2358,109.4678,-3.5486,53.3057,0
0x50,50:06.8,0.0474,0.9409,-0.354,6.7749,-17.7612,-29.7852,109.6106,-2.8674,53.1024,0
0x50,50:06.8,-0.0073,0.9424,-0.3452,5.7373,-21.6675,-29.4189,109.7534,-2.1588,52.8882,0
0x50,50:06.8,0.0127,0.9565,-0.3335,4.0283,-26.001,-30.0903,109.8578,-1.4227,52.608,0
0x50,50:06.8,0.0923,0.9395,-0.3647,2.0752,-28.0151,-33.3252,109.9292,-0.6647,52.3004,0
0x50,50:06.8,0.0415,0.9023,-0.3403,1.77,-24.5361,-37.3535,109.9786,0.1263,52.0422,0
0x50,50:06.8,0.0498,0.9629,-0.3057,2.4414,-22.2168,-43.457,110.0116,1.0107,51.8884,0
0x50,50:06.8,0.0005,0.9834,-0.355,1.0986,-21.4233,-48.9502,110.0281,1.9885,51.8005,0
0x50,50:06.9,-0.0186,0.9092,-0.3892,-0.7935,-26.3672,-51.3916,110.0446,3.0707,51.6852,0
0x50,50:06.9,0.0166,0.9048,-0.3638,-2.2583,-26.3062,-55.542,110.0336,4.2078,51.5479,0
0x50,50:06.9,0.0059,0.98,-0.3647,-5.4932,-15.3809,-63.1714,109.9731,5.3998,51.5753,0
0x50,50:06.9,-0.0693,1.0073,-0.3628,-9.2773,-10.7422,-68.0542,109.8523,6.6687,51.7841,0
0x50,50:06.9,-0.0806,1.0386,-0.3511,-12.207,-12.9395,-72.5708,109.66,8.031,52.0422,0
0x50,50:07.0,-0.0527,1.0488,-0.4307,-16.5405,-16.4795,-77.1484,109.4073,9.4977,52.262,0
0x50,50:07.0,-0.0654,1.1162,-0.4463,-19.6533,-22.0337,-81.0547,109.0887,11.0522,52.4048,0
0x50,50:07.0,-0.0835,1.2222,-0.4336,-21.4844,-31.311,-85.083,108.6823,12.7277,52.4158,0
0x50,50:07.0,-0.1162,1.3032,-0.3516,-25.3296,-43.2739,-93.9331,108.1274,14.6118,52.2675,0
