StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,12:37.4,0.3315,0.9028,-0.2261,-0.8545,0.1221,-4.7607,101.6125,-21.2146,107.5122,0
0x50,12:37.4,0.4224,0.8794,-0.2339,-0.5493,-3.1128,-6.1035,101.629,-21.1157,107.3419,0
0x50,12:37.4,0.4058,0.8735,-0.2188,0.4272,-0.7935,-7.2632,101.6565,-21.0278,107.1387,0
0x50,12:37.5,0.3203,0.8901,-0.1733,0.5493,-1.2817,-6.7749,101.6785,-20.9125,106.9904,0
0x50,12:37.5,0.3682,0.9141,-0.1294,0.7324,2.8687,-5.4321,101.6675,-20.7697,106.8695,0
0x50,12:37.6,0.3306,0.9482,-0.1318,0.9766,6.897,-5.249,101.6016,-20.6818,106.853,0
0x50,12:37.6,0.3452,0.9419,-0.1836,1.6479,8.8501,-6.3477,101.5302,-20.5829,106.908,0
0x50,12:37.6,0.3569,0.9229,-0.2065,2.3804,8.4229,-6.4697,101.4917,-20.4895,106.9684,0
0x50,12:37.6,0.335,0.918,-0.1953,2.2583,5.7983,-5.188,101.4862,-20.4016,107.0013,0
0x50,12:37.6,0.3174,0.9248,-0.1641,1.8311,3.1738,-3.6621,101.4862,-20.3137,106.9794,0
0x50,12:37.6,0.3159,0.9375,-0.1514,1.5259,0.8545,-2.3193,101.4807,-20.2368,106.9135,0
0x50,12:37.6,0.2876,0.9365,-0.1719,0,-5.7373,-1.3428,101.4807,-20.1654,106.7761,0
0x50,12:37.6,0.3491,0.9297,-0.168,-0.8545,-9.3384,-1.1597,101.5137,-20.083,106.5125,0
0x50,12:37.7,0.3857,0.9292,-0.165,0.4883,-4.2725,-1.0986,101.5411,-20.0336,106.2158,0
0x50,12:37.7,0.3589,0.9175,-0.1938,1.77,1.77,-0.9155,101.5631,-20.0281,106.0345,0
0x50,12:37.7,0.3096,0.9116,-0.209,1.6479,1.8921,-0.1831,101.5906,-20.0226,105.9357,0
0x50,12:37.8,0.3257,0.9126,-0.1934,0.1831,-1.77,0.6714,101.6235,-20.0116,105.8093,0
0x50,12:37.8,0.355,0.9302,-0.1826,-0.1831,-1.6479,0.4272,101.64,-20.0116,105.639,0
0x50,12:37.8,0.3594,0.9351,-0.1694,0.4272,1.0376,-0.8545,101.64,-20.0116,105.4907,0
0x50,12:37.8,0.3447,0.9229,-0.166,0.7935,3.3569,-1.709,101.618,-20.0061,105.4138,0
0x50,12:37.8,0.3228,0.9282,-0.167,0.9155,2.3193,-0.9766,101.5961,-19.9841,105.3644,0
0x50,12:37.8,0.312,0.9111,-0.1807,0.4272,-1.709,1.2207,101.5851,-19.9677,105.2765,0
0x50,12:37.8,0.335,0.9102,-0.1899,-0.4883,-5.3711,3.479,101.6125,-19.9786,105.0897,0
0x50,12:37.9,0.3438,0.9302,-0.1973,-0.9766,-5.188,4.1504,101.6455,-20.0281,104.837,0
0x50,12:37.9,0.3516,0.9336,-0.2031,-1.2207,-4.0283,3.6621,101.6675,-20.083,104.5953,0
0x50,12:37.9,0.3643,0.937,-0.2061,-0.6714,-0.7935,2.1362,101.684,-20.1379,104.3921,0
0x50,12:37.9,0.3569,0.9351,-0.1943,-0.4883,-0.061,0.9766,101.684,-20.1819,104.2493,0
0x50,12:37.9,0.3223,0.9204,-0.1982,-1.2207,-1.8921,1.77,101.6785,-20.1984,104.1174,0
0x50,12:38.0,0.312,0.9185,-0.2065,-2.0142,-3.8452,2.8687,101.6785,-20.2148,103.9417,0
0x50,12:38.0,0.3672,0.8975,-0.1772,-1.0376,-2.5635,3.418,101.684,-20.2478,103.7384,0
0x50,12:38.0,0.3721,0.9248,-0.147,0.061,1.2207,2.8076,101.6675,-20.3192,103.5901,0
0x50,12:38.0,0.3564,0.9229,-0.1685,0.061,1.8311,1.2207,101.6345,-20.3851,103.5187,0
0x50,12:38.0,0.3501,0.8999,-0.189,-0.5493,-1.2207,1.4038,101.618,-20.4181,103.4308,0
0x50,12:38.0,0.3188,0.9004,-0.1807,-0.9766,-3.6011,2.5024,101.618,-20.4456,103.2825,0
0x50,12:38.1,0.3604,0.9116,-0.1621,-0.9155,-2.3193,2.8687,101.6235,-20.473,103.1012,0
0x50,12:38.1,0.3716,0.9258,-0.1631,-0.061,0.3052,2.6245,101.6071,-20.528,102.9639,0
0x50,12:38.1,0.3457,0.9209,-0.1777,-0.1221,-0.8545,2.5635,101.5906,-20.5884,102.865,0
0x50,12:38.2,0.3486,0.916,-0.1812,-0.8545,-3.8452,2.8687,101.5961,-20.6268,102.7222,0
0x50,12:38.2,0.3569,0.9077,-0.1826,-1.3428,-5.4321,2.5635,101.6071,-20.6653,102.5244,0
0x50,12:38.2,0.3765,0.9102,-0.1758,-1.0376,-3.7231,1.77,101.618,-20.6982,102.3212,0
0x50,12:38.2,0.3799,0.9019,-0.1738,0.3052,0.7324,1.0376,101.6125,-20.7367,102.1729,0
0x50,12:38.2,0.3745,0.8994,-0.1729,0.9155,3.7231,0.6714,101.6016,-20.7806,102.1124,0
0x50,12:38.2,0.3687,0.9019,-0.1699,0.7935,4.7607,0.4272,101.5851,-20.8246,102.1069,0
0x50,12:38.2,0.3618,0.8999,-0.1777,0.5493,4.6387,0.2441,101.5521,-20.863,102.1179,0
0x50,12:38.3,0.3467,0.9038,-0.1899,-0.061,1.3428,1.0986,101.5302,-20.8905,102.1069,0
0x50,12:38.3,0.3223,0.9365,-0.2056,-1.2817,-3.479,1.8311,101.5302,-20.907,102.0081,0
0x50,12:38.3,0.3389,0.958,-0.1987,-2.0142,-6.5308,1.6479,101.5466,-20.896,101.8158,0
0x50,12:38.3,0.3872,0.9458,-0.1895,-1.4038,-3.2349,0.2441,101.5521,-20.885,101.6071,0
0x50,12:38.3,0.377,0.9263,-0.1992,-0.061,1.77,-1.5869,101.5466,-20.885,101.4807,0
