StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,07:22.8,-0.8125,0.6113,-0.0327,-4.8218,1.2207,-1.709,96.0919,40.589,29.1357,0
0x50,07:22.8,-0.7148,0.6226,-0.0723,-6.4697,2.6855,-2.1973,96.026,40.7263,29.1742,0
0x50,07:22.8,-0.6187,0.6084,-0.0884,-5.4932,3.1128,-3.2959,95.9985,40.8362,29.2841,0
0x50,07:22.8,-0.6738,0.6699,-0.1226,-2.8687,9.7656,-3.7842,96.1633,40.9351,29.5752,0
0x50,07:22.8,-0.7783,0.7197,-0.0923,-2.3804,12.6953,-2.1973,96.3556,41.0284,29.9048,0
0x50,07:22.9,-0.8208,0.7397,-0.0811,-4.2725,5.0049,-0.4272,96.3556,41.1053,30.0092,0
0x50,07:22.9,-0.7397,0.7065,-0.0918,-3.8452,-1.1597,2.1362,96.2677,41.1218,29.9762,0
0x50,07:22.9,-0.665,0.7124,-0.0869,-3.9063,-1.3428,2.4414,96.1688,41.0999,29.9762,0
0x50,07:22.9,-0.6455,0.7222,-0.0635,-2.4414,2.7466,1.8921,96.1523,41.0614,30.097,0
0x50,07:22.9,-0.7168,0.7275,-0.042,-1.4648,-0.4883,2.1362,96.0754,41.0614,30.097,0
0x50,07:23.0,-0.6919,0.7573,-0.0405,-2.8076,-6.4697,2.5635,95.8667,41.0394,29.9597,0
0x50,07:23.0,-0.6177,0.7769,-0.063,-3.2959,-3.1738,3.1738,95.7294,40.9515,29.9707,0
0x50,07:23.0,-0.6299,0.7798,-0.062,-2.4414,0.4883,4.5166,95.6689,40.8362,30.0586,0
0x50,07:23.0,-0.6626,0.7734,-0.0503,-2.1362,0.2441,4.5166,95.603,40.7428,30.1245,0
0x50,07:23.0,-0.6455,0.7695,-0.0591,-2.4414,0.3052,3.6621,95.5371,40.6549,30.1959,0
0x50,07:23.1,-0.625,0.7642,-0.0601,-2.5635,1.77,2.5635,95.5042,40.5835,30.3168,0
0x50,07:23.1,-0.6245,0.7441,-0.0454,-1.5869,1.8311,2.9907,95.4712,40.5121,30.4266,0
0x50,07:23.1,-0.6743,0.7593,-0.0278,-0.6104,-1.8921,3.7842,95.3833,40.4572,30.4156,0
0x50,07:23.2,-0.6631,0.7954,-0.0444,-1.0986,-6.2256,4.2114,95.224,40.3748,30.3168,0
0x50,07:23.2,-0.624,0.7915,-0.0732,-0.5493,-4.2725,4.5166,95.1361,40.2649,30.2893,0
0x50,07:23.2,-0.6108,0.7754,-0.0825,0,-2.9907,4.8828,95.0922,40.1495,30.2948,0
0x50,07:23.2,-0.6006,0.7744,-0.0781,0.6714,-3.9673,4.6997,95.0427,40.0342,30.2838,0
0x50,07:23.2,-0.5645,0.7671,-0.0688,0.9155,-4.3945,4.4556,94.9878,39.9078,30.2728,0
0x50,07:23.2,-0.5889,0.75,-0.0474,1.8921,-4.4556,4.3945,94.9329,39.8035,30.2399,0
0x50,07:23.2,-0.6523,0.7485,-0.0288,1.77,-8.0566,2.8076,94.7955,39.776,30.0806,0
0x50,07:23.3,-0.7002,0.7617,-0.04,0.7935,-7.8735,0.1831,94.6637,39.8199,29.9103,0
0x50,07:23.3,-0.6646,0.7456,-0.0625,0.9155,-2.2583,-1.6479,94.6472,39.8749,29.9103,0
0x50,07:23.3,-0.644,0.7314,-0.0645,1.6479,2.5635,-0.9155,94.7241,39.9078,30.0311,0
0x50,07:23.4,-0.665,0.7686,-0.0713,1.5259,2.6245,0.3052,94.8065,39.9078,30.163,0
0x50,07:23.4,-0.6426,0.7744,-0.0889,0.5493,1.8921,1.2817,94.8669,39.8749,30.2838,0
0x50,07:23.4,-0.6167,0.7593,-0.0913,0.5493,0.9766,0.7935,94.9164,39.8474,30.3937,0
0x50,07:23.4,-0.6138,0.7813,-0.0991,-0.3662,-1.6479,-0.5493,94.9109,39.8419,30.4486,0
0x50,07:23.4,-0.5815,0.7759,-0.0967,-0.7324,-2.6245,-0.9155,94.8889,39.8254,30.4926,0
0x50,07:23.4,-0.5669,0.7539,-0.0786,-0.4272,7.1411,-1.1597,95.0153,39.8035,30.7837,0
0x50,07:23.4,-0.6343,0.7378,-0.0513,-0.5493,12.5732,-0.7324,95.1965,39.8035,31.1627,0
